,Normalization Method,Target,Number of tiles,Path to folder
0,ORIGINAL WSI,-,3631,/disk2/user/gabgam/work/gigi_env/the_project/1_tiling/outputs/satac_C1/tiling_output/v3_allspots/tiles_100/
1,fromWSI_histomicsTK_macenko_nomasking,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/1_tiling/outputs/satac_C1/tiling_output/v3_allspots_histomicsTK_macenko_nomasking_target_is_reference_full/tiles_100/
2,fromWSI_histomicsTK_macenko_withmasking,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/1_tiling/outputs/satac_C1/tiling_output/v3_allspots_histomicsTK_macenko_withmasking_target_is_reference_full/tiles_100/
3,fromWSI_staintools_reinhard,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/1_tiling/outputs/satac_C1/tiling_output/v3_allspots_staintools_reinhard_target_is_reference_full/tiles_100/
0,histomicsTK_macenko_nomasking,target_is_reference_full,3592,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/histomicsTK_macenko_nomasking/target_is_reference_full
1,histomicsTK_macenko_withmasking,target_is_reference_full,3592,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/histomicsTK_macenko_withmasking/target_is_reference_full
2,histomicsTK_reinhard_nomasking,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/histomicsTK_reinhard_nomasking/target_is_reference_full
3,histomicsTK_reinhard_withmasking,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/histomicsTK_reinhard_withmasking/target_is_reference_full
4,stainGAN_model_A,-,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/stainGAN/model_A
5,stainGAN_model_B,-,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/stainGAN/model_B
6,stainNET,-,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/stainNET
7,staintools_macenko,target_is_reference_full,3189,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/staintools_macenko/target_is_reference_full
8,staintools_reinhard,target_is_reference_full,3631,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/staintools_reinhard/target_is_reference_full
9,staintools_vahadane,target_is_reference_full,3199,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/staintools_vahadane/target_is_reference_full
10,torch_vahadane_cpu,target_is_reference_full,3199,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/torch_vahadane_cpu/target_is_reference_full
11,torch_vahadane_gpu,target_is_reference_full,3206,/disk2/user/gabgam/work/gigi_env/the_project/2_image_normalisation/output/satac_C1/v3_allspots/tiles_55/torch_vahadane_gpu/target_is_reference_full
